config-benchmark,Config_ID,Bench_ID,Int Power,Switch Power,Leak Power,Total Power,Dynamic Power,McPAT.Leakage,McPAT.Dynamic,McPAT.Total,McPTA.Error,McPAT.MAPE
GigaBoomConfig-dhrystone.riscv,0,20,37.3,10.3,6.8,54.4,47.6,3.89489,58.5363,62.43119,14.76%,14.76%
GigaBoomConfig-duff.riscv,0,21,26.1,2.41,6.66,35.17,28.51,3.89489,33.3904,37.28529,6.01%,6.01%
GigaBoomConfig-edn.riscv,0,22,35.2,9.01,6.78,50.99,44.21,3.89489,57.2172,61.11209,19.85%,19.85%
GigaBoomConfig-expint.riscv,0,23,26.5,2.67,6.76,35.93,29.17,3.89489,22.1978,26.09269,-27.38%,27.38%
GigaBoomConfig-fac.riscv,0,24,25.9,2.22,6.65,34.77,28.12,3.89489,21.6386,25.53349,-26.56%,26.56%
GigaBoomConfig-fft.riscv,0,25,31,5.42,6.87,43.29,36.42,3.89489,29.3713,33.26619,-23.16%,23.16%
GigaBoomConfig-fibonacci.riscv,0,26,29.4,4.42,6.7,40.52,33.82,3.89489,45.3477,49.24259,21.53%,21.53%
GigaBoomConfig-fir2dim.riscv,0,27,27,3.02,6.68,36.7,30.02,3.89489,39.5801,43.47499,18.46%,18.46%
GigaBoomConfig-fmref.riscv,0,28,34.4,7.42,6.92,48.74,41.82,3.89489,32.6827,36.57759,-24.95%,24.95%
GigaBoomConfig-frac.riscv,0,29,28.6,4.02,6.75,39.37,32.62,3.89489,38.1076,42.00249,6.69%,6.69%
GigaBoomConfig-h264_dec.riscv,0,30,31.8,6.8,6.74,45.34,38.6,3.89489,45.3777,49.27259,8.67%,8.67%
GigaBoomConfig-hello_world.riscv,0,31,34,7.05,6.83,47.88,41.05,3.89489,44.9755,48.87039,2.07%,2.07%
GigaBoomConfig-hello_world_large.riscv,0,32,34.6,7.34,6.84,48.78,41.94,3.89489,46.541,50.43589,3.39%,3.39%
GigaBoomConfig-huff_dec.riscv,0,33,35,8.47,6.81,50.28,43.47,3.89489,52.0632,55.95809,11.29%,11.29%
GigaBoomConfig-iir.riscv,0,34,26.2,2.4,6.66,35.26,28.6,3.89489,31.5629,35.45779,0.56%,0.56%
GigaBoomConfig-insertsort.riscv,0,35,26.1,2.39,6.66,35.15,28.49,3.89489,32.2268,36.12169,2.76%,2.76%
GigaBoomConfig-jfdctint.riscv,0,36,26.4,2.57,6.67,35.64,28.97,3.89489,26.536,30.43089,-14.62%,14.62%
GigaBoomConfig-levenshtein.riscv,0,37,35.7,8.59,6.78,51.07,44.29,3.89489,54.9121,58.80699,15.15%,15.15%
GigaBoomConfig-lift.riscv,0,38,40.3,11.8,6.8,58.9,52.1,3.89489,31.7227,35.61759,-39.53%,39.53%
GigaBoomConfig-lms.riscv,0,39,33.9,7.32,6.88,48.1,41.22,3.89489,46.2269,50.12179,4.20%,4.20%
GigaBoomConfig-ludcmp.riscv,0,40,25.2,2.26,6.66,34.12,27.46,3.89489,30.8656,34.76049,1.88%,1.88%
