config-benchmark,GT.Leakage,GT.Dynamic,GT.Total,McPAT-7nm.Leakage,McPAT-7nm.Dynamic,McPAT-7nm.Total,ML.Leakage,ML-Shuffle.Dynamic,ML-Shuffle.Total,ML-Config.Dynamic,ML-Config.Total,ML-Benchmark.Dynamic,ML-Benchmark.Total
GigaBoomProConfig-complex_updates.riscv,7.34,30.24,37.58,4.07468,32.3084,36.38308,7.0904743089176865,30.224863052368164,37.31533736128585,28.319284439086914,35.4097587480046,30.510150909423828,37.60062521834151
GigaBoomProConfig-compress.riscv,7.34,31.28,38.62,4.07468,43.9403,48.01498,7.0904743089176865,31.012245178222656,38.10271948714034,30.17348861694336,37.263962925861044,34.22382354736328,41.314297856280966
GigaBoomProConfig-countnegative.riscv,7.4,33.25,40.65,4.07468,34.3312,38.40588,7.0904743089176865,33.80631637573242,40.89679068465011,31.14052963256836,38.231003941486044,36.66579818725586,43.756272496173544
GigaBoomProConfig-cover.riscv,7.32,30.02,37.34,4.07468,30.6489,34.72358,7.0904743089176865,30.193614959716797,37.28408926863448,28.219993591308594,35.31046790022628,30.933853149414062,38.02432745833175
GigaBoomProConfig-crc.riscv,7.42,38.47,45.89,4.07468,38.4648,42.53948,7.0904743089176865,38.56193161010742,45.65240591902511,34.7455940246582,41.83606833357589,44.10832595825195,51.19880026716964
GigaBoomProConfig-dhrystone.riscv,7.48,50.6,58.08,4.07468,58.9237,62.99838,7.0904743089176865,46.13180923461914,53.222283543536825,41.953182220458984,49.04365652937667,40.290565490722656,47.38103979964034
GigaBoomProConfig-duff.riscv,7.33,30.43,37.76,4.07468,33.9091,37.98378,7.0904743089176865,30.381101608276367,37.47157591719405,28.767946243286133,35.85842055220382,31.508621215820312,38.599095524738
GigaBoomProConfig-edn.riscv,7.46,46.86,54.32,4.07468,56.9995,61.07418,7.0904743089176865,48.170623779296875,55.26109808821456,45.352603912353516,52.4430782212712,44.62982177734375,51.720296086261435
GigaBoomProConfig-expint.riscv,7.44,31.2,38.64,4.07468,22.6452,26.71988,7.0904743089176865,30.645095825195312,37.735570134113,29.159997940063477,36.25047224898116,30.872997283935547,37.96347159285323
GigaBoomProConfig-fac.riscv,7.32,30.03,37.35,4.07468,22.0549,26.12958,7.0904743089176865,29.769990921020508,36.86046522993819,28.142513275146484,35.23298758406417,30.52943229675293,37.619906605670614
